bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
Serviced Office to rent,"Princess Street, Central Manchester, Manchester, M1",POA,"Fully furnished serviced offices, available for rent. A Grade II Listed building which features original exterior sculpture work and large sash windows. The interior has been refurbished completely to provide high standard office suites of various sizes, including some executive exposed-beamed lo...",,Call: 020 3324 9051,641,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=20,e to rent,M1 7AG,Manchester
3 bedroom terraced house to rent,"Grosvenor Street, Stretford, Manchester",£695 pcm,"*** AVAILABLE NOW*** Trading Places are delighted to offer to the market this well presented three bedroom mid terrace property. The property briefly comprises of an entrance hall, two separate reception rooms and a spacious fitted kitchen including white goods. To the first floor you will see...",,Call: 0161 865 9220,821,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=190,e to rent,M25 1ES,Manchester
2 bedroom flat to rent,"Tuscany House, 19 Dickinson Street, Manchester",£895 pcm,"Available Early April. This 4th floor two bedroom apartment is located in the heart of Manchester close to China Town. Entrance hall, large bright living room with laminate flooring, Separate newly fitted kitchen with all appliances and breakfast area, master bedroom has en-suite shower and secon...",,Call: 0161 468 0426,832,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=190,t to rent,M1 4LF,Manchester
Studio flat to rent,"38 Atwood Road, Didsbury, Manchester, M20 6TD",£650 pcm,"Lovely one bedroom top floor flat located within minutes walk of Didsbury Village. Spacious lounge with laminate flooring, fully fitted kitchen to include oven, hob, washing machine and fridge. Good size double bedroom with fitted wardrobes. White bathroom suite with bath & shower. MUST BE VI...",,Call: 0161 468 0444,833,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=190,t to rent,M20 6TD,Manchester
2 bedroom terraced house to rent,"Ventnor Road, Didsbury, Manchester, M20 6RX",£900 pcm,"We are pleased to offer this nicely presented two bed mid terraced house located within minutes walk of Didsbury Village, Metrolink station, local shops and restaurants. Accommodation comprises of spacious through lounge/dining room, fully fitted kitchen to include washing machine, halogen hob...",,Call: 0161 468 0444,834,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=200,e to rent,M20 6RX,Manchester
2 bedroom apartment to rent,"Princess Street, City Centre, Manchester",£995 pcm,*Available 18.2.16**2 Double Bedrooms**En suite to master bedroom**Centrally Located**Furnished**3rd Floor**Parking **Converted Warehouse*Ideal for professional couple* This is a two double bedroom third floor apartment in the popular development of 30 Princess Street in the heart of the city ce...,,Call: 0161 468 0813,678,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=60,t to rent,M1 6NG,Manchester
4 bedroom detached house for sale,"Holme Road, Didsbury, Manchester, Greater Manchester","Offers in Region of £895,000","*** MOVING FILM VIDEO TOUR *** A STUNNING BESPOKE DETACHED PROPERTY BOASTING A HOST OF DESIGN FEATURES, OCCUPYING AN ATTRACTIVE GARDEN PLOT MEASURING 0.2 OF AN ACRE, LOCATED ON ONE OF DIDSBURY'S FINEST ROADS FACING MARIE LOUISE GARDENS. 2028 sq ft. Entrance porch, reception hallway, four double ...",,Call: 0161 468 0407,220,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=200, for sale,M20 2UA,Manchester
2 bedroom apartment to rent,"8 King Street, Deansgate, Manchester, M2 ","£2,200 pcm","Wonderfully and painstakingly renovated, this architectural treasure has been lovingly converted from offices to offer almost unheard of spacious apartments in the city centre, and are now ready to view. Set on the corner of King St and Deansgate, a most sought after position. A contemporary clas...",,Call: 0161 956 8195,748,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=130,t to rent,M2 4NH,Manchester
3 bedroom terraced house to rent,"East Union Street, Manchester, Greater Manchester, M16","£1,200 pcm",STUNNING NEW BUILD TOWNHOUSE WITHIN WALKING DISTANCE OF THE CITY. Presented on a furnished basis this three storey townhouse would ideally suit a family or professional Sharers. Conveniently located just off Chester Road and approx 10 mins walk from the city. AVAILABLE 30th January.,,Call: 0161 468 0215,820,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=180,e to rent,M16 9AE,Manchester
Serviced Office to rent,"Brown Street, Manchester, M2",POA,"Fully furnished serviced offices, available for rent. A stunning grade A business centre in prime location just off King Street boasting superb views across the city. Offices on flexible terms to suit all sizes of business. The office suites are fully air-conditioned, furnished and feature super-...",,Call: 020 3324 9051,623,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=10,e to rent,M2 2JG,Manchester
1 bedroom apartment to rent,"Hathersage Road,Rusholme,Manchester,M13",£575 pcm,"1 Click Move are pleased to offer this very attractive and spacious 1 bed apartment in the heart of the University and Hospital area of Rushholme. The kitchen is fitted with quality appliances, double bedroom, shower room and there is a gym within the building. AVALIBLE FROM JULY 2012",,Call: 0161 468 0796,714,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M13 0FE,Manchester
1 bedroom apartment to rent,"Hathersage Road,Rusholme,Manchester,M13",£575 pcm,"1 Click Move are pleased to offer this very attractive and spacious 1 bed apartment in the heart of the University and Hospital area of Rushholme. The kitchen is fitted with quality appliances, double bedroom, shower room and there is a gym within the building. AVAILBLE FROM SEPTEMBER 2014",,Call: 0161 468 0796,721,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=100,t to rent,M13 0HY,Manchester
1 bedroom apartment to rent,"Velvet House, Sackville Street, Manchester, Greater Manchester, M1",£800 pcm,"MANLETS are please to offer this spacious, fully furnished, one bedroom apartment located in the heart of Granby Village, very close to both Oxford road & Piccadilly train stations.",,Call: 0161 468 0806,776,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=150,t to rent,M1 3LZ,Manchester
2 bedroom apartment to rent,"Sackville Place, Bombay Street, Manchester, Greater Manchester, M1",£935 pcm,"Manlets are pleased to offer this second floor, spacious two bedroom and one bathroom apartment facing Bombay Street (off Sackville Street) close to Piccadilly Station and Universities. Large lounge with space for desk/study area and dining area. Fully furnished. Available - 5th February 2016",,Call: 0161 468 0806,789,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=160,t to rent,M1 3NJ,Manchester
2 bedroom terraced house to rent,"Wrigley Head,  Failsworth - EPC - D,  Manchester,  M35",£495 pcm,"NP Estates are delighted to offer for rent this mid garden terrace property. Gas central heating and upc double glazing. Accommodation:- entrance hall, lounge, dining room, fitted kitchen, landing to two bedrooms, bathroom and yard to rear. Private tenants only. Application fee of £120 inc vat ap...",,Call: 0161 468 0615,729,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=100,e to rent,M35 9BS,Manchester
1 bedroom apartment to rent,"55/57 Whitworth Street, Manchester, Greater Manchester, M1",£775 pcm,Manlets are pleased to offer this one bedroom apartment in the established and well regarded Granby Village development. Residents have access to the development's leisure centre on site concierge and residents' communal gardens. Water charges included. Also includes underground secure parking!,,Call: 0161 468 0806,782,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=150,t to rent,M1 3GW,Manchester
