bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
2 bedroom flat to rent,"Dyche Street, Manchester, Greater Manchester, M4 4BU",£925 pcm,HUGE TWO BEDROOM APARTMENT *OVER 900SQ FT *TWO DOUBLE BEDROOMS *MASTER BEDROOM HAS EN-SUITE *LOUNGE WITH OFFSET DINING AREA *HALLWAY HAS OFFICE SPACE *FULLY FITTED KITCHEN *CLOSE TO CIS BUILDING *FURNISHED *SECURE PARKING *GROUND FLOOR.,,Call: 0161 468 0544,632,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=20,t to rent,M4 4DS,Manchester
Serviced Office to rent,"Exchange Quay, Salford, Manchester, M5",POA,"Fully furnished serviced offices, available for rent. These serviced offices at the entrance to the Exchange Quay development have been meticulously refurbished and designed to enable your company to thrive. Offering a prime location, tailor-made IT solutions, spectacular interiors, exemplary ser...",,Call: 020 3324 9051,635,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=10,e to rent,M5 3EQ,Manchester
1 bedroom house to rent,"151a Fog Lane, Manchester",£595 pcm,"Pearson Ferrier are delighted to bring to market this one bedroom spacious property centered in the heart of Foglane. This one bedroom property benefits from a good size lounge and bedroom with electric heating, this property comes part furnished and again with fantastic access to the city center...",,Call: 0161 468 1421,642,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=20,e to rent,M20 6FJ,Manchester
3 bedroom apartment to rent,"Delta Point, 1 Greengate, Manchester City Centre, Manchester, Greater Manchester","£1,150 pcm","Available 4th May. This spacious three bedroom apartment is situated on the third floor of this modern development, it comprises of; entrance hallway with large utility cupboard, living room with space for dining table and modern fitted kitchen, there is a Juliette balcony giving views towards ...",,Call: 0161 468 0711,646,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=30,t to rent,M3 7NE,Manchester
1 bedroom apartment to rent,"Xq7, Taylorson Street South, Salford Quays, Salford, Greater Manchester",£625 pcm,"Available 13th May. Philip James Manchester are proud to present this spacious studio apartment on the 11th floor located in the heart of Salford Quays at the XQ7 development. The apartment benefits from a lounge and sleeping space, it also has dining and a fully fitted kitchen including applian...",,Call: 0161 468 0711,650,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=30,t to rent,M5 3FP,Manchester
1 bedroom apartment to rent,"2 Oriel Gardens, Manchester, M7 ",£600 pcm,"This modern second floor apartment is situated in the New Broughton The development forms part of a larger secure network of homes and offers generous accommodation at a competitive price. Comprising open plan living room with Juliette balcony large storage cupboard, There is one double bedroom a...",,Call: 0161 956 8195,657,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=40,t to rent,M7 1AA,Manchester
2 bedroom flat to rent,"Longhope Road, Manchester, M22",£495 pcm,"Available now is this delightul second floor apartment with a spacious lounge/ dining room, fitted kitchen, two bedrooms and a bathroom. There is also parking. Viewings are essential.",,Call: 0161 468 0496,661,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=40,t to rent,M22 8UA,Manchester
2 bedroom apartment to rent,"5 Ludgate Hill, Manchester",£900 pcm,"Suttons City Living are offering for rent this superb two bedroom, two bathroom apartment with balcony on the fifth floor of Skyline Chambers. Call 0161 832 9922 to book a viewing.",,Call: 0161 468 0664,691,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=60,t to rent,M4 4BW,Manchester
3 bedroom semi-detached house to rent,"Winchester Road, Manchester",£695 pcm,"*COMING SOON* PERFECT FAMILY HOME OFFERING PLENTY OF SPACE. SITUATED CLOSE TO ELLESMERE PARK and with THREE BEDROOMS, TWO RECEPTION ROOMS, FITTED KITCHEN, OUT BUILDINGS, BATHROOM ADJUSTED TO HELP WITH A DISABILITY, GARDEN TO THE FRONT AND LARGE ENCLOSED LAWNED REAR GARDEN. This property will be a...",,Call: 0161 747 9379,664,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=40,e to rent,M30 9BS,Manchester
1 bedroom apartment to rent,"Hathersage Road,Rusholme,Manchester,M13",£575 pcm,"1 Click Move are pleased to offer this very attractive and spacious 1 bed apartment in the heart of the University and Hospital area of Rushholme. The kitchen is fitted with quality appliances, double bedroom, shower room and there is a gym within the building.",,Call: 0161 468 0796,673,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=60,t to rent,M13 0JR,Manchester
