provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_66,M15 6FD,1100,Boundry Lane,3,6906
belvoir_67,M14 5RH,925,"Upper Park Road,",3,2823
belvoir_68,M1 5DD,2700,Whitworth Street West,2,4783
belvoir_69,M13 0RH,3500,Blossom Street,3,1470
belvoir_70,M14 5BB,650,Hope Road,2,5904
belvoir_71,M15 5AX,775,Greenheys Lane West,2,3277
belvoir_72,M1 5BD,1200,Whitworth Street West,2,4783
belvoir_73,M1 6BD,1100,Princess Street,2,2461
belvoir_74,M1 5QE,1200,Lower Ormond Street,2,209
belvoir_75,M4 6JW,950,Radium Street,2,733
belvoir_76,M8 4FL,725,Sinclair Avenue,3,6320
belvoir_77,M4 4AJ,950,Hornbeam Way,2,17255
belvoir_78,M20 4NE,585,Mauldeth Road,1,1798
belvoir_79,M8 8YE,600,Fairy Lane,2,3501
belvoir_80,M15 4QU,belvoir_null_0,Jordan Street,3,12168
belvoir_81,M8 8BT,600,Waterloo Road,2,3501
belvoir_82,M4 6JW,950,Ancoats,2,733
belvoir_83,M8 8BJ,600,Larch Gardens,2,2840
belvoir_84,M15 4LG,775,Blantyre Street,1,23205
belvoir_85,M13 0NW,675,Birch Lane,2,957
belvoir_86,M13 0RH,1395,Navigation Street,3,1470
belvoir_87,M4 7AJ,950,Pollard Street,2,3998
belvoir_88,M15 6GH,795,Loxford Street,2,6906
belvoir_89,M15 5JP,750,Hulme High Street,2,3277
belvoir_91,M15 6BN,375,Cavendish Street,1,8522
belvoir_92,M1 5EB,1400,Whitworth Street West,2,2461
belvoir_93,M15 5JR,795,Hulme High Street,2,3277
belvoir_94,M13 0RH,850,Water Street,2,1470
belvoir_95,M4 4TJ,775,Ludgate Hill,2,12320
belvoir_96,M15 6AZ,850,Denmark Road,2,1755
belvoir_97,M15 4TD,1100,City Road East,2,12168
belvoir_98,M15 4TA,1100,City Road East,2,12168
belvoir_99,M14 5BB,650,Hope Road,2,5904
belvoir_100,M15 5QH,1400,Bold Street,4,4022
belvoir_101,M4 4AD,950,Masson Place,1,9684
belvoir_102,M15 5JS,795,Hulme High Street,2,3277
belvoir_103,M40 9DH,725,Kenyon Lane,3,4052
belvoir_105,M15 4QY,1150,Commercial Street,2,796
belvoir_106,M15 4QX,1275,Jordan Street,2,12168
belvoir_107,M9 7GH,575,Victoria Avenue East,2,16455
belvoir_108,M4 5BW,belvoir_null_1,Cotton Street,3,7263
belvoir_109,M15 4QX,1550,Jordan Street,3,12168
belvoir_110,M11 1BE,795,Old Lane,2,3219
belvoir_111,M1 5ED,belvoir_null_2,Whitworth Street West,2,2461
belvoir_112,M9 8NT,675,Oakshaw Close,3,3074
belvoir_113,M14 5BB,675,Hope Road,2,5904
belvoir_115,M15 4TB,795,City Road East,2,12168
belvoir_116,M15 4QX,860,Jordan Street,2,12168
belvoir_117,M15 4QW,795,Commercial Street,1,796
belvoir_118,M18 8GN,550,Brightman Street,3,4379
belvoir_119,M4 4BW,775,Ludgate Hill,2,12320
belvoir_121,M13 0RH,950,Mirabel Street,2,1470
belvoir_122,M8 5DZ,500,St Marys Hall Road,2,332
belvoir_123,M15 4QH,860,Little Peter Street,1,796
belvoir_124,M4 4BG,600,Simpson Street,1,753
belvoir_125,M4 4AD,775,Every Street,2,9684
belvoir_126,M4 4BZ,775,Sharp Street,2,12320
belvoir_127,M13 0RH,725,Longfield Centre,2,1470
belvoir_128,M4 6BU,575,Lampwick Lane,1,3998
belvoir_129,M9 8QE,550,Lakeside Rise,2,4731
belvoir_132,M9 8QD,500,Lakeside Rise,2,4731
belvoir_133,M11 3TW,775,Hartwell Close,2,1174
belvoir_134,M40 5LH,550,Alloway Walk,3,704
belvoir_135,M9 8QB,500,Old Market Street,2,4731
belvoir_136,M21 0SF,585,Egerton Road North,1,6927
belvoir_137,M8 5EA,belvoir_null_3,Rectory Road,2,332
belvoir_138,M9 8QE,600,Lakeside Rise,2,4731
belvoir_139,M9 8QB,500,Old Market Street,2,4731
belvoir_140,M9 8QB,500,Old Market Street,2,4731
belvoir_141,M8 4JW,belvoir_null_4,Sharnbrook Walk,1,10623
belvoir_142,M15 5JP,795,Hulme High Street,2,3277
belvoir_143,M40 3AN,550,Colclough Close,3,812
belvoir_145,M9 8NJ,500,Slack Road,2,3074
belvoir_147,M13 0RH,675,Shelley Road,3,1470
belvoir_148,M9 8QB,500,Old Market Street,2,4731
belvoir_149,M4 4BW,850,"Ludgate Hill,",2,12320
belvoir_150,M15 5JP,795,Hulme High Street,2,3277
belvoir_151,M9 8QE,belvoir_null_5,Lakeside Rise,4,4731
belvoir_152,M9 6HJ,550,Sidley Avenue,3,9643
belvoir_153,M9 8QB,500,Lakeside Rise,2,4731
belvoir_154,M9 8NW,550,Maplewood Close,3,3074
belvoir_155,M9 8NW,500,Maplewood Close,2,3074
belvoir_157,M1 5WQ,POA,Whitworth Street West,belvoir_null_183,12168
belvoir_158,M8 4NA,belvoir_null_6,Sourh Lodge,2,176
belvoir_159,M8 0AR,600,Martingale Court,2,7261
belvoir_160,M8 4NA,550,Middleton Court,3,176
belvoir_161,M8 5QE,belvoir_null_7,Saddlecote Close,4,4828
belvoir_163,M9 8DR,belvoir_null_8,Old School Drive,1,3074
belvoir_165,M15 4QU,950,Jordan Street,2,12168
belvoir_166,M8 4HG,500,Melton Road,2,332
belvoir_167,M21 0SD,POA,Wilbraham Road,belvoir_null_184,6927
belvoir_169,M9 6HJ,550,Sidley Avenue,3,9643
belvoir_170,M13 0RH,85000,Ainsworth Road,2,1470
belvoir_171,M13 0RH,492500,Longford Avenue,5,1470
belvoir_172,M13 0RH,895,Poplar Drive,3,1470
belvoir_173,M13 0RH,POA,Blossom Street,3,1470
