provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_175,M13 0RH,249950,"Navigation Street,",3,1470
belvoir_176,M13 0RH,500,Adair Street,1,1470
belvoir_177,M13 0RH,170000,"Helmet Street, Fairfield Street",2,1470
belvoir_178,M13 0RH,239950,Helmet Street,2,1470
belvoir_179,M13 0RH,nan,"Piccadilly, Dale Street",2,1470
belvoir_180,M13 0RH,725,Dale Street,2,1470
belvoir_181,M13 0RH,675,Piccadilly,3,1470
belvoir_182,M13 0RH,950,Baring Street,1,1470
belvoir_183,M13 0RH,675,"Lymouth Court,",3,1470
belvoir_184,M13 0RH,9,"Cleminson Street,",2,1470
belvoir_185,M13 0RH,10,Ducie Street,4,1470
belvoir_186,M13 0RH,1695,Store Street,2,1470
belvoir_187,M13 0RH,11,Store Street,2,1470
belvoir_188,M13 0RH,550,Chapeltown Street,3,1470
belvoir_189,M13 0RH,1500,"Longacre Street, Churchgate Buildings",2,1470
belvoir_190,M13 0RH,1275,Longacre Street,2,1470
belvoir_191,M13 0RH,850,"Leftbank,						Spinningfields,",1,1470
belvoir_192,M13 0RH,750,Heyrod Street,1,1470
belvoir_193,M13 0RH,695,Portugal Street East,1,1470
belvoir_194,M13 0RH,795,Portugal Street East,2,1470
belvoir_196,M13 0RH,1400,Portland Street,4,1470
belvoir_197,M13 0RH,12,Piccadilly,4,1470
belvoir_198,M13 0RH,860,"Flint Glass Wharf,						Ancoats,",2,1470
belvoir_199,M13 0RH,500,London Road,2,1470
belvoir_200,M13 0RH,550,Piccadilly,3,1470
belvoir_201,M13 0RH,895,Piccadilly,3,1470
belvoir_202,M13 0RH,725,Aytoun Street,3,1470
belvoir_203,M13 0RH,500,Aytoun Street,1,1470
belvoir_204,M13 0RH,13,Minshull Street,1,1470
belvoir_205,M13 0RH,600,Minshull Street,2,1470
belvoir_206,M13 0RH,675,Minshull Street,3,1470
belvoir_207,M13 0RH,860,"Leftbank,						Spinningfields,",1,1470
belvoir_208,M13 0RH,1350,Chorlton Street,1,1470
belvoir_209,M13 0RH,675,"Ranlesham Street,						Prestwich,",3,1470
belvoir_9,M21 0AU,425000,Chorlton Street,3,10595
belvoir_10,M21 8DN,385000,Granby Row,3,4966
belvoir_11,M21 8DN,375000,Fairfield Street,3,4966
belvoir_12,M22 4JZ,125000,Whitworth Street,2,4209
belvoir_13,M15 6AZ,147500,Canal Street,2,1755
belvoir_96,M15 6AZ,850,Richmond Street,2,1755
belvoir_15,M9 7HQ,112000,"Freshfields,
						Spindletree Ave,",2,11291
belvoir_56,M9 7HQ,575,"Spindletree Avenue,",2,11291
belvoir_17,M9 7JA,125000,Chorlton Street,2,16455
belvoir_18,M21 7WH,110000,"Maitland Avenue,
						Chorlton,",2,5107
belvoir_22,M4 4BJ,140000,Bloom Street,2,753
belvoir_24,M4 4TG,86000,Bloom Street,182,12320
rightmove_53,M4 4TG,850,Portland Street,2,12320
belvoir_25,M16 8HA,675,Portland Street,2,14965
belvoir_26,M1 6HR,115000,Bloom Street,1,708
belvoir_27,M1 5TF,200000,"The Foundry,
						Lower Chatham Street,",2,2461
belvoir_28,M15 4QG,265000,Sackville Street,2,15184
belvoir_34,M14 5BB,585,Sackville Street,1,5904
belvoir_60,M14 5BB,795,"Sackville Street, Altrincham Street",3,5904
belvoir_70,M14 5BB,650,Altrincham Street,2,5904
belvoir_99,M14 5BB,650,Whitworth Street,2,5904
belvoir_113,M14 5BB,675,Whitworth Street,2,5904
belvoir_36,M4 4BZ,125000,Brazil Street,2,12320
